trend_type,bar_index,date
downtrend,1,2025-03-16 22:00:00+00:00
uptrend,2,2025-03-16 23:00:00+00:00
downtrend,4,2025-03-17 01:00:00+00:00
uptrend,6,2025-03-17 03:00:00+00:00
downtrend,7,2025-03-17 04:00:00+00:00
uptrend,10,2025-03-17 07:00:00+00:00
downtrend,14,2025-03-17 11:00:00+00:00
uptrend,15,2025-03-17 12:00:00+00:00
downtrend,16,2025-03-17 13:00:00+00:00
uptrend,18,2025-03-17 15:00:00+00:00
downtrend,21,2025-03-17 18:00:00+00:00
uptrend,23,2025-03-17 20:00:00+00:00
downtrend,24,2025-03-17 22:00:00+00:00
uptrend,30,2025-03-18 04:00:00+00:00
downtrend,34,2025-03-18 08:00:00+00:00
uptrend,36,2025-03-18 10:00:00+00:00
downtrend,37,2025-03-18 11:00:00+00:00
uptrend,41,2025-03-18 15:00:00+00:00
downtrend,42,2025-03-18 16:00:00+00:00
uptrend,43,2025-03-18 17:00:00+00:00
downtrend,46,2025-03-18 20:00:00+00:00
uptrend,47,2025-03-18 22:00:00+00:00
downtrend,49,2025-03-19 00:00:00+00:00
uptrend,56,2025-03-19 07:00:00+00:00
downtrend,60,2025-03-19 11:00:00+00:00
uptrend,61,2025-03-19 12:00:00+00:00
downtrend,64,2025-03-19 15:00:00+00:00
uptrend,67,2025-03-19 18:00:00+00:00
downtrend,78,2025-03-20 06:00:00+00:00
uptrend,79,2025-03-20 07:00:00+00:00
downtrend,80,2025-03-20 08:00:00+00:00
uptrend,82,2025-03-20 10:00:00+00:00
uptrend,85,2025-03-20 13:00:00+00:00
downtrend,86,2025-03-20 14:00:00+00:00
uptrend,90,2025-03-20 18:00:00+00:00
downtrend,93,2025-03-20 22:00:00+00:00
uptrend,94,2025-03-20 23:00:00+00:00
downtrend,96,2025-03-21 01:00:00+00:00
uptrend,100,2025-03-21 05:00:00+00:00
downtrend,102,2025-03-21 07:00:00+00:00
uptrend,103,2025-03-21 08:00:00+00:00
downtrend,107,2025-03-21 12:00:00+00:00
uptrend,108,2025-03-21 13:00:00+00:00
downtrend,110,2025-03-21 15:00:00+00:00
uptrend,111,2025-03-21 16:00:00+00:00
downtrend,112,2025-03-21 17:00:00+00:00
uptrend,114,2025-03-21 19:00:00+00:00
downtrend,121,2025-03-24 03:00:00+00:00
uptrend,122,2025-03-24 04:00:00+00:00
downtrend,134,2025-03-24 16:00:00+00:00
uptrend,136,2025-03-24 18:00:00+00:00
downtrend,137,2025-03-24 19:00:00+00:00
uptrend,141,2025-03-25 00:00:00+00:00
downtrend,142,2025-03-25 01:00:00+00:00
uptrend,147,2025-03-25 06:00:00+00:00
downtrend,148,2025-03-25 07:00:00+00:00
uptrend,149,2025-03-25 08:00:00+00:00
downtrend,153,2025-03-25 12:00:00+00:00
uptrend,155,2025-03-25 14:00:00+00:00
downtrend,158,2025-03-25 17:00:00+00:00
uptrend,159,2025-03-25 18:00:00+00:00
downtrend,164,2025-03-26 00:00:00+00:00
uptrend,167,2025-03-26 03:00:00+00:00
downtrend,169,2025-03-26 05:00:00+00:00
uptrend,170,2025-03-26 06:00:00+00:00
downtrend,171,2025-03-26 07:00:00+00:00
uptrend,174,2025-03-26 10:00:00+00:00
downtrend,177,2025-03-26 13:00:00+00:00
uptrend,182,2025-03-26 18:00:00+00:00
downtrend,183,2025-03-26 19:00:00+00:00
uptrend,186,2025-03-26 23:00:00+00:00
downtrend,192,2025-03-27 05:00:00+00:00
downtrend,193,2025-03-27 06:00:00+00:00
uptrend,193,2025-03-27 06:00:00+00:00
uptrend,195,2025-03-27 08:00:00+00:00
downtrend,197,2025-03-27 10:00:00+00:00
uptrend,198,2025-03-27 11:00:00+00:00
downtrend,199,2025-03-27 12:00:00+00:00
uptrend,200,2025-03-27 13:00:00+00:00
downtrend,202,2025-03-27 15:00:00+00:00
uptrend,204,2025-03-27 17:00:00+00:00
downtrend,206,2025-03-27 19:00:00+00:00
uptrend,210,2025-03-28 00:00:00+00:00
downtrend,216,2025-03-28 06:00:00+00:00
uptrend,217,2025-03-28 07:00:00+00:00
downtrend,220,2025-03-28 10:00:00+00:00
downtrend,228,2025-03-28 18:00:00+00:00
uptrend,231,2025-03-30 22:00:00+00:00
downtrend,233,2025-03-31 00:00:00+00:00
uptrend,233,2025-03-31 00:00:00+00:00
downtrend,238,2025-03-31 05:00:00+00:00
uptrend,240,2025-03-31 07:00:00+00:00
downtrend,241,2025-03-31 08:00:00+00:00
uptrend,244,2025-03-31 11:00:00+00:00
uptrend,246,2025-03-31 13:00:00+00:00
downtrend,252,2025-03-31 19:00:00+00:00
uptrend,254,2025-03-31 22:00:00+00:00
downtrend,255,2025-03-31 23:00:00+00:00
uptrend,257,2025-04-01 01:00:00+00:00
downtrend,259,2025-04-01 03:00:00+00:00
uptrend,260,2025-04-01 04:00:00+00:00
downtrend,261,2025-04-01 05:00:00+00:00
uptrend,262,2025-04-01 06:00:00+00:00
downtrend,263,2025-04-01 07:00:00+00:00
uptrend,264,2025-04-01 08:00:00+00:00
downtrend,265,2025-04-01 09:00:00+00:00
uptrend,267,2025-04-01 11:00:00+00:00
uptrend,270,2025-04-01 14:00:00+00:00
downtrend,272,2025-04-01 16:00:00+00:00
uptrend,274,2025-04-01 18:00:00+00:00
downtrend,277,2025-04-01 22:00:00+00:00
downtrend,279,2025-04-02 00:00:00+00:00
uptrend,279,2025-04-02 00:00:00+00:00
uptrend,280,2025-04-02 01:00:00+00:00
downtrend,284,2025-04-02 05:00:00+00:00
uptrend,287,2025-04-02 08:00:00+00:00
uptrend,292,2025-04-02 13:00:00+00:00
downtrend,296,2025-04-02 17:00:00+00:00
uptrend,297,2025-04-02 18:00:00+00:00
downtrend,299,2025-04-02 20:00:00+00:00
uptrend,300,2025-04-02 22:00:00+00:00
downtrend,306,2025-04-03 04:00:00+00:00
uptrend,309,2025-04-03 07:00:00+00:00
downtrend,310,2025-04-03 08:00:00+00:00
uptrend,312,2025-04-03 10:00:00+00:00
downtrend,314,2025-04-03 12:00:00+00:00
downtrend,315,2025-04-03 13:00:00+00:00
uptrend,315,2025-04-03 13:00:00+00:00
uptrend,317,2025-04-03 15:00:00+00:00
downtrend,318,2025-04-03 16:00:00+00:00
uptrend,323,2025-04-03 22:00:00+00:00
downtrend,325,2025-04-04 00:00:00+00:00
uptrend,326,2025-04-04 01:00:00+00:00
uptrend,330,2025-04-04 05:00:00+00:00
downtrend,331,2025-04-04 06:00:00+00:00
downtrend,337,2025-04-04 12:00:00+00:00
uptrend,339,2025-04-04 14:00:00+00:00
uptrend,342,2025-04-04 17:00:00+00:00
downtrend,343,2025-04-04 18:00:00+00:00
uptrend,346,2025-04-06 22:00:00+00:00
downtrend,349,2025-04-07 01:00:00+00:00
uptrend,352,2025-04-07 04:00:00+00:00
downtrend,353,2025-04-07 05:00:00+00:00
uptrend,355,2025-04-07 07:00:00+00:00
downtrend,358,2025-04-07 10:00:00+00:00
uptrend,361,2025-04-07 13:00:00+00:00
downtrend,362,2025-04-07 14:00:00+00:00
uptrend,363,2025-04-07 15:00:00+00:00
downtrend,366,2025-04-07 18:00:00+00:00
uptrend,367,2025-04-07 19:00:00+00:00
downtrend,371,2025-04-08 00:00:00+00:00
uptrend,372,2025-04-08 01:00:00+00:00
downtrend,373,2025-04-08 02:00:00+00:00
uptrend,376,2025-04-08 05:00:00+00:00
downtrend,378,2025-04-08 07:00:00+00:00
uptrend,379,2025-04-08 08:00:00+00:00
downtrend,385,2025-04-08 14:00:00+00:00
uptrend,390,2025-04-08 19:00:00+00:00
uptrend,395,2025-04-09 01:00:00+00:00
downtrend,396,2025-04-09 02:00:00+00:00
uptrend,399,2025-04-09 05:00:00+00:00
downtrend,401,2025-04-09 07:00:00+00:00
uptrend,405,2025-04-09 11:00:00+00:00
downtrend,408,2025-04-09 14:00:00+00:00
uptrend,408,2025-04-09 14:00:00+00:00
downtrend,412,2025-04-09 18:00:00+00:00
uptrend,413,2025-04-09 19:00:00+00:00
downtrend,416,2025-04-09 23:00:00+00:00
uptrend,421,2025-04-10 04:00:00+00:00
downtrend,424,2025-04-10 07:00:00+00:00
uptrend,425,2025-04-10 08:00:00+00:00
downtrend,429,2025-04-10 12:00:00+00:00
uptrend,433,2025-04-10 16:00:00+00:00
downtrend,435,2025-04-10 18:00:00+00:00
uptrend,436,2025-04-10 19:00:00+00:00
uptrend,440,2025-04-11 00:00:00+00:00
downtrend,446,2025-04-11 06:00:00+00:00
uptrend,448,2025-04-11 08:00:00+00:00
downtrend,450,2025-04-11 10:00:00+00:00
uptrend,451,2025-04-11 11:00:00+00:00
downtrend,452,2025-04-11 12:00:00+00:00
uptrend,454,2025-04-11 14:00:00+00:00
downtrend,461,2025-04-13 22:00:00+00:00
uptrend,462,2025-04-13 23:00:00+00:00
downtrend,463,2025-04-14 00:00:00+00:00
uptrend,466,2025-04-14 03:00:00+00:00
uptrend,469,2025-04-14 06:00:00+00:00
downtrend,471,2025-04-14 08:00:00+00:00
uptrend,472,2025-04-14 09:00:00+00:00
downtrend,474,2025-04-14 11:00:00+00:00
downtrend,476,2025-04-14 13:00:00+00:00
uptrend,476,2025-04-14 13:00:00+00:00
uptrend,479,2025-04-14 16:00:00+00:00
downtrend,482,2025-04-14 19:00:00+00:00
uptrend,483,2025-04-14 20:00:00+00:00
downtrend,490,2025-04-15 04:00:00+00:00
uptrend,491,2025-04-15 05:00:00+00:00
downtrend,493,2025-04-15 07:00:00+00:00
uptrend,498,2025-04-15 12:00:00+00:00
downtrend,499,2025-04-15 13:00:00+00:00
downtrend,500,2025-04-15 14:00:00+00:00
uptrend,500,2025-04-15 14:00:00+00:00
downtrend,505,2025-04-15 19:00:00+00:00
uptrend,507,2025-04-15 22:00:00+00:00
uptrend,509,2025-04-16 00:00:00+00:00
downtrend,510,2025-04-16 01:00:00+00:00
uptrend,514,2025-04-16 05:00:00+00:00
downtrend,524,2025-04-16 15:00:00+00:00
uptrend,528,2025-04-16 19:00:00+00:00
downtrend,529,2025-04-16 20:00:00+00:00
