bar_index,date,pds_cand_index,pds_cand_high,pds_cand_low,current_o,current_h,current_l,current_c,rule_LowThenHigherClose_vs_PDSOpen,rule_A,rule_B,rule_F,rule_G,rule_H
2,2025-03-17 02:00:00+00:00,,,,5666.25,5666.75,5659.25,5662.0,,,,,,
3,2025-03-17 06:00:00+00:00,,,,5661.75,5670.25,5651.25,5666.5,,,,,,
4,2025-03-17 10:00:00+00:00,,,,5666.5,5726.25,5664.75,5719.25,,,,,,
5,2025-03-17 14:00:00+00:00,,,,5719.25,5736.25,5689.75,5733.5,,,,,,
6,2025-03-17 18:00:00+00:00,6,5759.75,5725.5,5733.5,5759.75,5725.5,5732.25,False,False,False,True,False,False
7,2025-03-17 22:00:00+00:00,6,5759.75,5725.5,5732.0,5738.0,5716.5,5717.5,False,False,False,False,False,False
8,2025-03-18 02:00:00+00:00,6,5759.75,5725.5,5717.5,5720.25,5707.75,5713.75,False,False,False,False,False,False
9,2025-03-18 06:00:00+00:00,6,5759.75,5725.5,5713.75,5735.75,5712.0,5723.75,False,True,False,False,True,False
10,2025-03-18 10:00:00+00:00,6,5759.75,5725.5,5723.5,5725.0,5666.75,5668.25,False,False,False,False,False,False
11,2025-03-18 14:00:00+00:00,6,5759.75,5725.5,5668.5,5681.25,5651.0,5668.5,False,False,False,False,False,False
12,2025-03-18 18:00:00+00:00,6,5759.75,5725.5,5668.5,5682.5,5657.25,5669.5,False,True,False,False,True,False
13,2025-03-18 22:00:00+00:00,6,5759.75,5725.5,5669.75,5689.5,5660.75,5682.0,False,True,False,False,True,False
14,2025-03-19 02:00:00+00:00,6,5759.75,5725.5,5682.25,5685.0,5673.25,5676.25,False,False,False,False,False,False
15,2025-03-19 06:00:00+00:00,6,5759.75,5725.5,5676.5,5684.25,5657.5,5683.0,False,False,False,False,False,False
16,2025-03-19 10:00:00+00:00,6,5759.75,5725.5,5682.75,5704.5,5675.25,5699.5,False,True,False,False,True,False
17,2025-03-19 14:00:00+00:00,6,5759.75,5725.5,5699.5,5723.5,5686.25,5693.0,False,False,False,True,False,False
18,2025-03-19 18:00:00+00:00,6,5759.75,5725.5,5690.75,5770.5,5681.0,5729.75,True,True,False,False,False,False
19,2025-03-19 22:00:00+00:00,,,,5733.25,5752.75,5729.75,5746.75,,,,,,
20,2025-03-20 02:00:00+00:00,,,,5747.0,5760.0,5746.5,5758.0,,,,,,
21,2025-03-20 06:00:00+00:00,20,5760.0,5746.5,5757.75,5758.75,5726.25,5729.75,False,False,False,False,False,False
22,2025-03-20 10:00:00+00:00,20,5760.0,5746.5,5730.0,5730.5,5682.5,5725.25,False,False,False,False,False,False
23,2025-03-20 14:00:00+00:00,23,5765.25,5704.5,5725.25,5765.25,5704.5,5709.75,False,False,False,True,False,False
24,2025-03-20 18:00:00+00:00,23,5765.25,5704.5,5710.0,5724.5,5695.0,5716.25,False,False,False,False,False,False
25,2025-03-20 22:00:00+00:00,23,5765.25,5704.5,5715.75,5723.75,5705.75,5722.25,False,False,False,False,False,False
26,2025-03-21 02:00:00+00:00,23,5765.25,5704.5,5722.25,5722.75,5699.25,5705.5,False,False,False,False,False,False
27,2025-03-21 06:00:00+00:00,23,5765.25,5704.5,5705.25,5717.25,5684.0,5693.25,False,False,False,False,False,False
28,2025-03-21 10:00:00+00:00,23,5765.25,5704.5,5693.5,5705.0,5651.25,5670.75,False,False,False,False,False,False
29,2025-03-21 14:00:00+00:00,23,5765.25,5704.5,5671.0,5712.25,5652.5,5702.0,False,True,False,False,True,False
30,2025-03-21 18:00:00+00:00,23,5765.25,5704.5,5702.0,5722.25,5688.0,5720.0,False,True,False,False,True,False
31,2025-03-23 22:00:00+00:00,23,5765.25,5704.5,5740.0,5757.25,5739.75,5754.75,False,False,False,False,True,False
32,2025-03-24 02:00:00+00:00,23,5765.25,5704.5,5754.5,5758.5,5751.5,5755.75,False,False,False,False,False,False
33,2025-03-24 06:00:00+00:00,23,5765.25,5704.5,5755.75,5780.5,5755.0,5772.25,False,False,True,False,False,False
34,2025-03-24 10:00:00+00:00,23,5765.25,5704.5,5772.25,5804.5,5770.5,5801.5,False,False,False,False,False,False
35,2025-03-24 14:00:00+00:00,23,5765.25,5704.5,5802.0,5819.25,5794.5,5806.0,False,False,False,False,False,False
36,2025-03-24 18:00:00+00:00,23,5765.25,5704.5,5805.5,5825.5,5795.0,5813.0,False,False,False,False,False,False
37,2025-03-24 22:00:00+00:00,,,,5813.25,5816.25,5806.75,5813.25,,,,,,
38,2025-03-25 02:00:00+00:00,37,5816.25,5806.75,5813.25,5813.25,5805.25,5807.5,False,False,False,False,False,False
39,2025-03-25 06:00:00+00:00,37,5816.25,5806.75,5807.25,5813.75,5801.5,5811.5,True,True,False,False,False,False
40,2025-03-25 10:00:00+00:00,,,,5811.25,5834.0,5805.5,5819.75,,,,,,
41,2025-03-25 14:00:00+00:00,41,5837.25,5812.0,5819.75,5837.25,5812.0,5813.75,False,False,False,True,False,False
42,2025-03-25 18:00:00+00:00,41,5837.25,5812.0,5813.75,5832.25,5808.5,5831.75,False,False,False,False,False,False
43,2025-03-25 22:00:00+00:00,41,5837.25,5812.0,5831.0,5836.5,5828.75,5830.5,False,False,False,True,False,False
44,2025-03-26 02:00:00+00:00,43,5836.5,5828.75,5830.75,5831.5,5819.0,5819.5,False,False,False,False,False,False
45,2025-03-26 06:00:00+00:00,43,5836.5,5828.75,5819.75,5828.5,5814.5,5815.0,False,False,False,False,False,False
46,2025-03-26 10:00:00+00:00,43,5836.5,5828.75,5814.5,5834.5,5805.5,5808.5,False,False,False,True,False,False
47,2025-03-26 14:00:00+00:00,43,5836.5,5828.75,5808.5,5817.5,5750.5,5751.5,False,False,False,False,False,False
48,2025-03-26 18:00:00+00:00,43,5836.5,5828.75,5751.75,5767.5,5743.0,5754.75,False,False,False,False,False,False
49,2025-03-26 22:00:00+00:00,43,5836.5,5828.75,5738.25,5755.25,5730.5,5753.5,False,False,False,False,False,False
50,2025-03-27 02:00:00+00:00,43,5836.5,5828.75,5753.75,5771.75,5753.5,5764.25,False,True,False,False,True,False
51,2025-03-27 06:00:00+00:00,43,5836.5,5828.75,5764.5,5773.0,5742.75,5765.75,True,True,False,False,False,False
52,2025-03-27 10:00:00+00:00,43,5836.5,5828.75,5765.5,5770.0,5720.0,5754.0,False,False,False,False,False,False
53,2025-03-27 14:00:00+00:00,43,5836.5,5828.75,5753.75,5779.75,5733.75,5737.25,False,False,False,True,False,False
54,2025-03-27 18:00:00+00:00,43,5836.5,5828.75,5737.0,5771.25,5736.0,5741.75,False,False,False,False,False,False
55,2025-03-27 22:00:00+00:00,43,5836.5,5828.75,5742.0,5744.5,5728.25,5738.25,False,False,False,False,False,False
56,2025-03-28 02:00:00+00:00,43,5836.5,5828.75,5738.0,5745.75,5737.5,5742.5,False,True,False,False,True,False
57,2025-03-28 06:00:00+00:00,43,5836.5,5828.75,5742.25,5748.0,5711.75,5724.75,False,False,False,True,False,False
58,2025-03-28 10:00:00+00:00,43,5836.5,5828.75,5724.75,5739.75,5705.25,5707.25,False,False,False,False,False,False
59,2025-03-28 14:00:00+00:00,43,5836.5,5828.75,5707.25,5711.25,5618.75,5630.75,False,False,False,False,False,False
60,2025-03-28 18:00:00+00:00,43,5836.5,5828.75,5630.75,5636.5,5602.25,5602.75,False,False,False,False,False,False
61,2025-03-30 22:00:00+00:00,43,5836.5,5828.75,5590.0,5600.0,5573.5,5585.25,False,False,False,False,False,False
62,2025-03-31 02:00:00+00:00,43,5836.5,5828.75,5585.25,5591.75,5574.25,5585.75,False,False,False,False,False,False
63,2025-03-31 06:00:00+00:00,43,5836.5,5828.75,5585.5,5591.75,5562.5,5569.25,False,False,False,False,False,False
64,2025-03-31 10:00:00+00:00,43,5836.5,5828.75,5568.75,5577.5,5533.75,5562.5,False,False,False,False,False,False
