trend_type,bar_index,date
downtrend,1,2025-03-17 00:00:00+00:00
uptrend,2,2025-03-18 00:00:00+00:00
downtrend,3,2025-03-19 00:00:00+00:00
uptrend,5,2025-03-21 00:00:00+00:00
downtrend,7,2025-03-25 00:00:00+00:00
uptrend,11,2025-03-31 00:00:00+00:00
downtrend,13,2025-04-02 00:00:00+00:00
uptrend,16,2025-04-07 00:00:00+00:00
downtrend,17,2025-04-08 00:00:00+00:00
uptrend,18,2025-04-09 00:00:00+00:00
downtrend,21,2025-04-14 00:00:00+00:00
uptrend,25,2025-04-21 00:00:00+00:00
downtrend,33,2025-05-01 00:00:00+00:00
downtrend,34,2025-05-02 00:00:00+00:00
