trend_start_type,bar_index,date
downtrend,1,2025-03-17 00:00:00+00:00
uptrend,2,2025-03-18 00:00:00+00:00
downtrend,3,2025-03-19 00:00:00+00:00
uptrend,5,2025-03-21 00:00:00+00:00
downtrend,7,2025-03-25 00:00:00+00:00
uptrend,11,2025-03-31 00:00:00+00:00
downtrend,13,2025-04-02 00:00:00+00:00
uptrend,16,2025-04-07 00:00:00+00:00
downtrend,19,2025-04-10 00:00:00+00:00
uptrend,25,2025-04-21 00:00:00+00:00
downtrend,33,2025-05-01 00:00:00+00:00
downtrend,34,2025-05-02 00:00:00+00:00
uptrend,34,2025-05-02 00:00:00+00:00
uptrend,37,2025-05-07 00:00:00+00:00
downtrend,38,2025-05-08 00:00:00+00:00
uptrend,40,2025-05-12 00:00:00+00:00
downtrend,41,2025-05-13 00:00:00+00:00
uptrend,43,2025-05-15 00:00:00+00:00
downtrend,46,2025-05-20 00:00:00+00:00
