trend_start_type,bar_index,date,rule,trigger_bar_index
downtrend,1,2025-03-17T00:00:00+00:00,NewHighWeakAdvance_B,3
uptrend,2,2025-03-18T00:00:00+00:00,LowUndercutHighRespect,5
downtrend,3,2025-03-19T00:00:00+00:00,NewHighWeakAdvance_B,6
uptrend,5,2025-03-21T00:00:00+00:00,EXHAUSTION_REVERSAL,8
downtrend,7,2025-03-25T00:00:00+00:00,RallyLowBreaksPeakLow_A,12
uptrend,11,2025-03-31T00:00:00+00:00,HigherHighLowerLowDownClose,13
downtrend,13,2025-04-02T00:00:00+00:00,FailedRallyAfterLowBreak_F,17
uptrend,16,2025-04-07T00:00:00+00:00,FORCED_by_CDS_HigherOHLCAfterLowBreak_G,26
downtrend,19,2025-04-10T00:00:00+00:00,HigherOHLCAfterLowBreak_G,26
uptrend,25,2025-04-21T00:00:00+00:00,EngulfingUpPDSLowBreak,34
downtrend,33,2025-05-01T00:00:00+00:00,LowThenHigherClose_vs_PDSOpen,34
downtrend,34,2025-05-02T00:00:00+00:00,LowThenHigherClose_vs_PDSOpen,37
uptrend,34,2025-05-02T00:00:00+00:00,EXHAUSTION_REVERSAL,36
uptrend,37,2025-05-07T00:00:00+00:00,BreakoutAfterFailedLowV2,40
downtrend,38,2025-05-08T00:00:00+00:00,FORCED_by_CUS_BreakoutAfterFailedLowV2,43
uptrend,40,2025-05-12T00:00:00+00:00,BreakoutAfterFailedLowV2,43
downtrend,41,2025-05-13T00:00:00+00:00,LowThenHigherClose_vs_PDSOpen,43
uptrend,43,2025-05-15T00:00:00+00:00,LowUndercutHighRespect,48
downtrend,46,2025-05-20T00:00:00+00:00,RallyLowBreaksPeakLow_A,50
