Date,Open,High,Low,Close,Adj Close,Volume
2019-08-14,7749.50,7767.50,7477.25,7488.75,7488.75,448720
2019-08-13,7569.25,7789.25,7513.75,7748.00,7748.00,314303
2019-08-12,7654.00,7709.75,7534.75,7566.75,7566.75,290029
2019-08-09,7714.00,7724.00,7596.75,7660.25,7660.25,336370
2019-08-08,7550.25,7738.50,7526.25,7735.75,7735.75,306070
2019-08-07,7514.50,7577.25,7387.75,7553.25,7553.25,441870
2019-08-06,7352.00,7548.75,7225.00,7515.50,7515.50,394039
2019-08-05,7706.00,7706.00,7359.75,7385.25,7385.25,380437
2019-08-02,7796.25,7805.50,7650.00,7702.25,7702.25,335463
2019-08-01,7835.00,8014.50,7777.00,7808.25,7808.25,427662
2019-07-31,7990.75,8001.75,7782.00,7866.75,7866.75,309747
2019-07-30,8002.25,8019.75,7928.25,7963.25,7963.25,180821
2019-07-29,8015.50,8031.75,7951.50,8001.25,8001.25,141883
2019-07-26,7991.00,8040.50,7987.75,8019.75,8019.75,185702
2019-07-25,8003.75,8034.25,7917.25,7981.75,7981.75,293063
2019-07-24,7945.00,8051.75,7925.75,8038.00,8038.00,200968
2019-07-23,7928.00,7985.75,7908.25,7983.75,7983.75,234497
2019-07-22,7826.75,7936.25,7825.50,7924.75,7924.75,220798
2019-07-19,7950.00,7980.50,7815.00,7842.75,7842.75,271517
2019-07-18,7868.00,7954.75,7833.00,7933.50,7933.50,260130
2019-07-17,7937.50,7966.50,7868.25,7885.50,7885.50,189309
2019-07-16,7983.25,8001.50,7924.00,7942.75,7942.75,190916
2019-07-15,7956.25,7992.00,7941.25,7986.75,7986.75,156861
2019-07-12,7915.75,7967.75,7912.00,7960.00,7960.00,167822
2019-07-11,7924.75,7963.25,7894.25,7918.75,7918.75,242410
2019-07-10,7847.50,7949.50,7811.50,7928.75,7928.75,240034
2019-07-09,7802.00,7858.75,7743.25,7845.25,7845.25,176786
2019-07-08,7855.00,7864.25,7777.75,7801.00,7801.00,126114
2019-07-05,7888.50,7909.25,7797.00,7854.75,7854.75,209604
2019-07-03,7842.50,7893.25,7824.75,7887.50,7838.25,297574
2019-07-02,7794.50,7843.25,7763.00,7838.25,7838.25,297574
2019-07-01,7781.50,7849.75,7759.00,7790.00,7790.00,406594
2019-06-28,7685.25,7726.00,7664.00,7693.75,7693.75,310126
2019-06-27,7641.00,7716.50,7640.75,7690.50,7690.50,300152
2019-06-26,7633.00,7719.00,7616.25,7650.00,7650.00,376379
2019-06-25,7754.75,7779.75,7609.50,7635.00,7628.75,424811
2019-06-24,7744.50,7794.25,7716.75,7755.50,7758.75,260978
2019-06-21,7765.00,7803.50,7725.75,7745.50,7723.61,379078
2019-06-20,7701.75,7820.75,7693.25,7764.74,7745.25,101514
2019-06-19,7641.00,7685.75,7601.75,7674.25,7674.25,112587
2019-06-18,7542.25,7693.50,7514.75,7645.25,7645.25,209971
2019-06-17,7481.00,7550.75,7476.00,7534.25,7534.25,184038
2019-06-14,7503.25,7520.75,7451.50,7478.25,7478.25,254822
2019-06-13,7476.00,7536.00,7421.00,7522.75,7522.75,396174
2019-06-12,7517.75,7531.00,7461.00,7473.25,7473.25,388858
2019-06-11,7519.50,7600.75,7492.75,7518.25,7518.25,461725
2019-06-10,7469.00,7578.50,7431.25,7515.50,7515.50,463884
2019-06-07,7266.50,7453.00,7257.75,7419.50,7419.50,484835
2019-06-06,7213.75,7299.25,7181.00,7282.25,7282.25,433916
2019-06-05,7189.00,7245.25,7150.25,7228.50,7228.50,534798
2019-06-04,7008.75,7186.50,6981.75,7179.25,7179.25,565396
2019-06-03,7110.00,7132.50,6941.25,6993.75,6993.75,771723
2019-05-31,7251.75,7256.00,7129.25,7133.50,7133.50,540433
2019-05-30,7214.75,7271.25,7208.50,7255.25,7255.25,403475
2019-05-29,7291.50,7296.00,7183.25,7216.00,7216.00,568052
2019-05-28,7315.50,7371.75,7280.25,7295.25,7295.25,528983
2019-05-24,7316.75,7379.75,7300.50,7315.50,7315.50,407810
2019-05-23,7430.75,7434.75,7268.00,7311.00,7311.00,640165
2019-05-22,7462.75,7475.00,7391.25,7430.00,7430.00,455678
2019-05-21,7408.25,7485.25,7400.75,7464.00,7464.00,436744
2019-05-20,7514.75,7559.25,7361.50,7391.75,7391.75,634294
2019-05-17,7598.00,7619.75,7506.50,7512.00,7511.50,626777
2019-05-16,7517.00,7641.25,7473.25,7603.00,7600.25,525588
2019-05-15,7427.00,7538.50,7353.75,7527.25,7529.25,535915
2019-05-14,7315.25,7459.50,7286.00,7426.00,7421.00,547769
2019-05-13,7601.00,7601.00,7304.75,7314.25,7314.75,773473
2019-05-10,7592.00,7653.50,7435.50,7610.25,7610.25,802652
2019-05-09,7640.00,7644.25,7481.20,7592.50,7595.25,741216
2019-05-08,7668.50,7697.75,7600.00,7641.50,7647.50,621509
2019-05-07,7745.25,7804.00,7581.25,7672.00,7674.00,838952
2019-05-06,7865.00,7886.00,7668.75,7741.50,7803.50,630196
