event_timestamp,event_type,processing_bar_index,message,processing_bar_timestamp,processing_bar_ohlc,pds_potential_idx,pds_anchor_h,pds_candidate_idx,pds_candidate_h,pds_candidate_l,pus_potential_idx,pus_anchor_l,pus_candidate_idx,pus_candidate_l,pus_candidate_h,in_containment,containment_ref_idx,containment_ref_type,last_trend_type,last_trend_idx,overall_trend_up
2025-06-09T21:41:32.716974+00:00,STRATEGY_DEBUG,1,Processing Bar 1 (2025-03-16T22:00:00+00:00),2025-03-16T22:00:00+00:00,"O:5679.75,H:5684.0,L:5654.25,C:5666.0,V:45862.0",,,,,,,,,,,False,,,,,
2025-06-09T21:41:32.716994+00:00,STRATEGY_DEBUG,1,Bar OHLCV: O:5679.75 H:5684.0 L:5654.25 C:5666.0 V:45862.0,2025-03-16T22:00:00+00:00,"O:5679.75,H:5684.0,L:5654.25,C:5666.0,V:45862.0",,,,,,,,,,,False,,,,,
2025-06-09T21:41:32.717000+00:00,STRATEGY_DEBUG,1,"First bar, no previous bar for comparison.",2025-03-16T22:00:00+00:00,"O:5679.75,H:5684.0,L:5654.25,C:5666.0,V:45862.0",,,,,,,,,,,False,,,,,
2025-06-09T21:41:32.717005+00:00,STRATEGY_DEBUG,2,Processing Bar 2 (2025-03-17T02:00:00+00:00),2025-03-17T02:00:00+00:00,"O:5666.25,H:5666.75,L:5659.25,C:5662.0,V:12537.0",,,,,,,,,,,False,,,,,
2025-06-09T21:41:32.717009+00:00,STRATEGY_DEBUG,2,Bar OHLCV: O:5666.25 H:5666.75 L:5659.25 C:5662.0 V:12537.0,2025-03-17T02:00:00+00:00,"O:5666.25,H:5666.75,L:5659.25,C:5662.0,V:12537.0",,,,,,,,,,,False,,,,,
2025-06-09T21:41:32.717014+00:00,STRATEGY_DEBUG,2,Initial State - PUS Candidate: Bar None (L:N/A) | PDS Candidate: Bar None (H:N/A),2025-03-17T02:00:00+00:00,"O:5666.25,H:5666.75,L:5659.25,C:5662.0,V:12537.0",,,,,,,,,,,False,,,,,
2025-06-09T21:41:32.717018+00:00,STRATEGY_DEBUG,2,Initial State - Last Confirmed Trend: None at Bar None,2025-03-17T02:00:00+00:00,"O:5666.25,H:5666.75,L:5659.25,C:5662.0,V:12537.0",,,,,,,,,,,False,,,,,
2025-06-09T21:41:32.717022+00:00,STRATEGY_DEBUG,2,"Initial State - Containment: False (Ref Bar: None, H:N/A, L:N/A, Start Bar: None, Consecutive Inside: 0)",2025-03-17T02:00:00+00:00,"O:5666.25,H:5666.75,L:5659.25,C:5662.0,V:12537.0",,,,,,,,,,,False,,,,,
2025-06-09T21:41:32.717026+00:00,STRATEGY_DEBUG,2,CUS Evaluation: No initial PUS candidate to evaluate.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717028+00:00,STRATEGY_DEBUG,2,CDS Evaluation: No initial PDS candidate to evaluate.,,,,,,,,,,,,,,,,,,
