BarLogIndex,LogDetails
1,Nothing
2,Signal for Pending Downtrend Start on Bar 1 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 1 (2025-03-16 22:00:00+00:00) (general PDS rule on prev_bar)
3,"DEBUG: CDS 1 confirmed, but no prior CUS to form confirmed containment.; DEBUG: Confirmed CDS at Bar 1; 📉 Confirmed Downtrend Start from Bar 1 (2025-03-16 22:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)"
4,⏳U Pending Uptrend Start on Bar 3 (2025-03-17 06:00:00+00:00) (general PUS rule on prev_bar)
5,➖ Neutral
6,Pending Downtrend Start on Bar 6 (2025-03-17 18:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 6 (2025-03-17 18:00:00+00:00) (by Rule C: HH & Down Close)
7,Info: prev_bar 6 (H:5759.75) not set as PDS. Existing PDS is 6 (H:5759.75). prev_bar.h is not > existing PDS.H.
8,Info: prev_bar 7 (H:5738.0) not set as PDS. Existing PDS is 6 (H:5759.75). prev_bar.h is not > existing PDS.H.
9,DEBUG: Confirmed CDS at Bar 6; DEBUG: Confirmed CUS at Bar 3; DEBUG: New CONFIRMED CONTAINMENT established by CDS 6 (H:5759.75) and prior CUS 3 (L:5651.25). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 3 (L:5651.25) and prior CDS 1 (H:5684.0). Active: True; ⏳U Pending Uptrend Start on Bar 8 (2025-03-18 02:00:00+00:00) (general PUS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 3 (2025-03-17 06:00:00+00:00) (Rule: LowUndercutHighRespect); 📉 Confirmed Downtrend Start from Bar 6 (2025-03-17 18:00:00+00:00) (Rule: A)
10,DEBUG: Checking immediate CDS confirmation for newly set PDS 9; DEBUG: Confirmed CDS at Bar 9; DEBUG: Confirmed CUS at Bar 8; DEBUG: Immediate CDS confirmation triggered for PDS 9; DEBUG: New CONFIRMED CONTAINMENT established by CDS 9 (H:5735.75) and prior CUS 8 (L:5707.75). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 8 (L:5707.75) and prior CDS 6 (H:5759.75). Active: True; Pending Downtrend Start on Bar 8 (2025-03-18 02:00:00+00:00); Signal for Pending Downtrend Start on Bar 9 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 8 (2025-03-18 02:00:00+00:00) (Post-CUS of 8 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 9 (2025-03-18 06:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 8 (2025-03-18 02:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 9 (2025-03-18 06:00:00+00:00) (Rule: G)
11,DEBUG: Checking immediate CDS confirmation for newly set PDS 10; Signal for Pending Downtrend Start on Bar 10 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 10 (2025-03-18 10:00:00+00:00) (general PDS rule on prev_bar)
12,DEBUG: Confirmed CDS at Bar 10; DEBUG: New CONFIRMED CONTAINMENT established by CDS 10 (H:5725.0) and prior CUS 8 (L:5707.75). Active: True; ⏳U Pending Uptrend Start on Bar 11 (2025-03-18 14:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 10 (2025-03-18 10:00:00+00:00) (Rule: A)
13,➖ Neutral
14,DEBUG: Checking immediate CDS confirmation for newly set PDS 13; DEBUG: Confirmed CDS at Bar 13; DEBUG: Immediate CDS confirmation triggered for PDS 13; DEBUG: New CONFIRMED CONTAINMENT established by CDS 13 (H:5689.5) and prior CUS 8 (L:5707.75). Active: True; Signal for Pending Downtrend Start on Bar 13 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 13 (2025-03-18 22:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 13 (2025-03-18 22:00:00+00:00) (Rule: G)
15,"DEBUG PDS Check for prev_bar=14: Current PDS Index=None, Current PDS High=None, prev_bar High=5685.0; DEBUG: Checking immediate CDS confirmation for newly set PDS 14; Signal for Pending Downtrend Start on Bar 14 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 14 (2025-03-19 02:00:00+00:00) (general PDS rule on prev_bar)"
16,DEBUG: Confirmed CDS at Bar 14; DEBUG: Confirmed CUS at Bar 11; DEBUG: New CONFIRMED CONTAINMENT established by CDS 14 (H:5685.0) and prior CUS 11 (L:5651.0). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 11 (L:5651.0) and prior CDS 13 (H:5689.5). Active: True; ⏳U Pending Uptrend Start on Bar 15 (2025-03-19 06:00:00+00:00) (general PUS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 11 (2025-03-18 14:00:00+00:00) (Rule: HighBreakoutAfterPUSAndInterveningPDS); 📉 Confirmed Downtrend Start from Bar 14 (2025-03-19 02:00:00+00:00) (Rule: B)
17,Pending Downtrend Start on Bar 17 (2025-03-19 14:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 17 (2025-03-19 14:00:00+00:00) (by Rule C: HH & Down Close)
18,DEBUG: Confirmed CDS at Bar 17; DEBUG: Confirmed CUS at Bar 15; DEBUG: New CONFIRMED CONTAINMENT established by CDS 17 (H:5723.5) and prior CUS 15 (L:5657.5). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 15 (L:5657.5) and prior CDS 14 (H:5685.0). Active: True; 📈 Confirmed Uptrend Start from Bar 15 (2025-03-19 06:00:00+00:00) (Rule: EngulfingUpPDSLowBreak); 📉 Confirmed Downtrend Start from Bar 17 (2025-03-19 14:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
19,DEBUG: Checking immediate CDS confirmation for newly set PDS 18; DEBUG: Confirmed CDS at Bar 18; DEBUG: Immediate CDS confirmation triggered for PDS 18; DEBUG: New CONFIRMED CONTAINMENT established by CDS 18 (H:5770.5) and prior CUS 15 (L:5657.5). Active: True; Signal for Pending Downtrend Start on Bar 18 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 18 (2025-03-19 18:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 18 (2025-03-19 18:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
20,⏳U Pending Uptrend Start on Bar 19 (2025-03-19 22:00:00+00:00) (general PUS rule on prev_bar)
21,DEBUG: Checking immediate CDS confirmation for newly set PDS 20; DEBUG: Confirmed CDS at Bar 20; DEBUG: Confirmed CUS at Bar 19; DEBUG: Immediate CDS confirmation triggered for PDS 20; DEBUG: New CONFIRMED CONTAINMENT established by CDS 20 (H:5760.0) and prior CUS 19 (L:5729.75). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 19 (L:5729.75) and prior CDS 18 (H:5770.5). Active: True; Pending Downtrend Start on Bar 19 (2025-03-19 22:00:00+00:00); Signal for Pending Downtrend Start on Bar 20 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 19 (2025-03-19 22:00:00+00:00) (Post-CUS of 19 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 20 (2025-03-20 02:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 19 (2025-03-19 22:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 20 (2025-03-20 02:00:00+00:00) (Rule: G)
22,DEBUG: Checking immediate CDS confirmation for newly set PDS 21; Signal for Pending Downtrend Start on Bar 21 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 21 (2025-03-20 06:00:00+00:00) (general PDS rule on prev_bar)
23,DEBUG: Confirmed CDS at Bar 21; DEBUG: New CONFIRMED CONTAINMENT established by CDS 21 (H:5758.75) and prior CUS 19 (L:5729.75). Active: True; Pending Downtrend Start on Bar 23 (2025-03-20 14:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 23 (2025-03-20 14:00:00+00:00) (by Rule C: HH & Down Close); 📉 Confirmed Downtrend Start from Bar 21 (2025-03-20 06:00:00+00:00) (Rule: F)
24,Info: prev_bar 23 (H:5765.25) not set as PDS. Existing PDS is 23 (H:5765.25). prev_bar.h is not > existing PDS.H.
25,"Info: prev_bar 24 (H:5724.5) not set as PDS. Existing PDS is 23 (H:5765.25). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 24 (2025-03-20 18:00:00+00:00) (general PUS rule on prev_bar); 🧱 Containment START: Bar 25 inside Bar 23 (PENDING_DOWNTREND_HIGH H:5765.25, L:5704.5)."
26,Containment ENDED: Bar 26 moves outside Bar 23 range (was 1 bar(s) inside).; Info: prev_bar 25 (H:5723.75) not set as PDS. Existing PDS is 23 (H:5765.25). prev_bar.h is not > existing PDS.H.
27,Info: prev_bar 26 (H:5722.75) not set as PDS. Existing PDS is 23 (H:5765.25). prev_bar.h is not > existing PDS.H.
28,Info: prev_bar 27 (H:5717.25) not set as PDS. Existing PDS is 23 (H:5765.25). prev_bar.h is not > existing PDS.H.
29,DEBUG: Confirmed CDS at Bar 23; DEBUG: New CONFIRMED CONTAINMENT established by CDS 23 (H:5765.25) and prior CUS 19 (L:5729.75). Active: True; ⏳U Pending Uptrend Start on Bar 28 (2025-03-21 10:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 23 (2025-03-20 14:00:00+00:00) (Rule: A)
30,➖ Neutral
31,➖ Neutral
32,➖ Neutral
33,➖ Neutral
34,➖ Neutral
35,➖ Neutral
36,➖ Neutral
37,DEBUG: Checking immediate CDS confirmation for newly set PDS 36; DEBUG: Confirmed CDS at Bar 36; DEBUG: Immediate CDS confirmation triggered for PDS 36; DEBUG: New CONFIRMED CONTAINMENT established by CDS 36 (H:5825.5) and prior CUS 19 (L:5729.75). Active: True; Signal for Pending Downtrend Start on Bar 36 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 36 (2025-03-24 18:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 36 (2025-03-24 18:00:00+00:00) (Rule: G)
