id,contract_id,timestamp,price,type,timeframe,created_at,updated_at
1,CON.F.US.MES.M25,2025-05-02 00:00:00+00,5724.5,downtrendStart,1d,2025-05-13 12:59:27.575,2025-05-13 12:59:27.575
5,CON.F.US.MES.M25,2025-05-07 00:00:00+00,5596,uptrendStart,1d,2025-05-13 13:15:04.217,2025-05-13 13:15:04.217
6,CON.F.US.MES.M25,2025-04-21 00:00:00+00,5127,uptrendStart,1d,2025-05-13 13:19:09.058,2025-05-13 13:19:09.058
7,CON.F.US.MES.M25,2025-04-10 00:00:00+00,5528.75,downtrendStart,1d,2025-05-13 13:19:39.055,2025-05-13 13:19:39.055
8,CON.F.US.MES.M25,2025-04-09 00:00:00+00,4873.5,uptrendStart,1d,2025-05-13 14:21:12.655,2025-05-13 14:21:12.655
9,CON.F.US.MES.M25,2025-04-08 00:00:00+00,5304.5,downtrendStart,1d,2025-05-13 14:21:19.365,2025-05-13 14:21:19.365
10,CON.F.US.MES.M25,2025-04-07 00:00:00+00,4832.5,uptrendStart,1d,2025-05-13 14:21:27.762,2025-05-13 14:21:27.762
11,CON.F.US.MES.M25,2025-04-02 00:00:00+00,5776.25,downtrendStart,1d,2025-05-13 14:21:34.538,2025-05-13 14:21:34.538
12,CON.F.US.MES.M25,2025-03-31 00:00:00+00,5533.75,uptrendStart,1d,2025-05-13 14:21:41.19,2025-05-13 14:21:41.19
13,CON.F.US.MES.M25,2025-03-25 00:00:00+00,5837.25,downtrendStart,1d,2025-05-13 14:21:48.479,2025-05-13 14:21:48.479
14,CON.F.US.MES.M25,2025-03-21 00:00:00+00,5651.25,uptrendStart,1d,2025-05-13 14:21:58.423,2025-05-13 14:21:58.423
15,CON.F.US.MES.M25,2025-03-19 00:00:00+00,5770.5,downtrendStart,1d,2025-05-13 14:22:04.344,2025-05-13 14:22:04.344
16,CON.F.US.MES.M25,2025-03-18 00:00:00+00,5651,uptrendStart,1d,2025-05-13 14:22:11.995,2025-05-13 14:22:11.995
17,CON.F.US.MES.M25,2025-03-17 00:00:00+00,5759.75,downtrendStart,1d,2025-05-13 14:22:18.487,2025-05-13 14:22:18.487
18,CON.F.US.MES.M25,2025-05-09 14:00:00+00,5662.75,uptrendStart,4h,2025-05-13 14:24:33.764,2025-05-13 14:24:33.764
19,CON.F.US.MES.M25,2025-05-12 10:00:00+00,5865.5,downtrendStart,4h,2025-05-13 14:24:39.958,2025-05-13 14:24:39.958
20,CON.F.US.MES.M25,2025-05-12 14:00:00+00,5805.75,uptrendStart,4h,2025-05-13 14:25:08.71,2025-05-13 14:25:08.71
21,CON.F.US.MES.M25,2025-05-12 18:00:00+00,5876.25,downtrendStart,4h,2025-05-13 14:25:16.65,2025-05-13 14:25:16.65
22,CON.F.US.MES.M25,2025-05-09 10:00:00+00,5715.75,downtrendStart,4h,2025-05-13 14:25:25.954,2025-05-13 14:25:25.954
23,CON.F.US.MES.M25,2025-05-08 22:00:00+00,5665.25,uptrendStart,4h,2025-05-13 14:25:33.507,2025-05-13 14:25:33.507
24,CON.F.US.MES.M25,2025-05-08 14:00:00+00,5741,downtrendStart,4h,2025-05-13 14:25:37.989,2025-05-13 14:25:37.989
25,CON.F.US.MES.M25,2025-05-08 14:00:00+00,5652.75,uptrendStart,4h,2025-05-13 14:33:12.095,2025-05-13 14:33:12.095
26,CON.F.US.MES.M25,2025-05-08 10:00:00+00,5717.75,downtrendStart,4h,2025-05-13 14:33:17.867,2025-05-13 14:33:17.867
27,CON.F.US.MES.M25,2025-05-07 18:00:00+00,5596,uptrendStart,4h,2025-05-13 14:33:27.163,2025-05-13 14:33:27.163
28,CON.F.US.MES.M25,2025-05-07 10:00:00+00,5667.25,downtrendStart,4h,2025-05-13 14:33:38.368,2025-05-13 14:33:38.368
29,CON.F.US.MES.M25,2025-05-07 06:00:00+00,5646,uptrendStart,4h,2025-05-13 14:33:45.494,2025-05-13 14:33:45.494
30,CON.F.US.MES.M25,2025-05-06 22:00:00+00,5690.75,downtrendStart,4h,2025-05-13 14:33:52.351,2025-05-13 14:33:52.351
31,CON.F.US.MES.M25,2025-05-06 18:00:00+00,5605,uptrendStart,4h,2025-05-13 14:33:57.486,2025-05-13 14:33:57.486
32,CON.F.US.MES.M25,2025-05-06 14:00:00+00,5671.75,downtrendStart,4h,2025-05-13 14:34:05.986,2025-05-13 14:34:05.986
33,CON.F.US.MES.M25,2025-05-05 18:00:00+00,5706,downtrendStart,4h,2025-05-13 14:34:15.003,2025-05-13 14:34:15.003
34,CON.F.US.MES.M25,2025-05-06 10:00:00+00,5607,uptrendStart,4h,2025-05-13 14:34:19.794,2025-05-13 14:34:19.794
35,CON.F.US.MES.M25,2025-05-05 06:00:00+00,5655.25,uptrendStart,4h,2025-05-13 14:34:26.188,2025-05-13 14:34:26.188
36,CON.F.US.MES.M25,2025-05-02 18:00:00+00,5724.5,downtrendStart,4h,2025-05-13 14:34:31.858,2025-05-13 14:34:31.858
37,CON.F.US.MES.M25,2025-05-02 06:00:00+00,5633.5,uptrendStart,4h,2025-05-13 14:34:42,2025-05-13 14:34:42
38,CON.F.US.MES.M25,2025-05-02 02:00:00+00,5675,downtrendStart,4h,2025-05-13 14:34:54.762,2025-05-13 14:34:54.762
39,CON.F.US.MES.M25,2025-05-01 22:00:00+00,5600.75,uptrendStart,4h,2025-05-13 14:35:01.731,2025-05-13 14:35:01.731
40,CON.F.US.MES.M25,2025-05-01 14:00:00+00,5675.5,downtrendStart,4h,2025-05-13 14:35:06.258,2025-05-13 14:35:06.258
41,CON.F.US.MES.M25,2025-04-30 10:00:00+00,5455.25,uptrendStart,4h,2025-05-13 14:35:25.455,2025-05-13 14:35:25.455
42,CON.F.US.MES.M25,2025-04-30 06:00:00+00,5582.25,downtrendStart,4h,2025-05-13 14:35:32.793,2025-05-13 14:35:32.793
43,CON.F.US.MES.M25,2025-04-30 02:00:00+00,5548.5,uptrendStart,4h,2025-05-13 14:35:45.748,2025-05-13 14:35:45.748
44,CON.F.US.MES.M25,2025-04-29 18:00:00+00,5597.5,downtrendStart,4h,2025-05-13 14:35:49.941,2025-05-13 14:35:49.941
45,CON.F.US.MES.M25,2025-04-29 10:00:00+00,5521,uptrendStart,4h,2025-05-13 14:35:52.959,2025-05-13 14:35:52.959
46,CON.F.US.MES.M25,2025-04-29 02:00:00+00,5573.75,downtrendStart,4h,2025-05-13 14:35:57.357,2025-05-13 14:35:57.357
47,CON.F.US.MES.M25,2025-04-28 14:00:00+00,5492.75,uptrendStart,4h,2025-05-13 14:36:03.321,2025-05-13 14:36:03.321
48,CON.F.US.MES.M25,2025-04-28 10:00:00+00,5578.75,downtrendStart,4h,2025-05-13 14:36:13.566,2025-05-13 14:36:13.566
49,CON.F.US.MES.M25,2025-04-28 02:00:00+00,5515.25,uptrendStart,4h,2025-05-13 14:36:17.983,2025-05-13 14:36:17.983
50,CON.F.US.MES.M25,2025-04-25 18:00:00+00,5563.25,downtrendStart,4h,2025-05-13 14:36:24.294,2025-05-13 14:36:24.294
51,CON.F.US.MES.M25,2025-04-25 14:00:00+00,5480,uptrendStart,4h,2025-05-13 14:36:30.331,2025-05-13 14:36:30.331
52,CON.F.US.MES.M25,2025-04-25 02:00:00+00,5553.25,downtrendStart,4h,2025-05-13 14:38:42.615,2025-05-13 14:38:42.615
53,CON.F.US.MES.M25,2025-04-24 06:00:00+00,5355.5,uptrendStart,4h,2025-05-13 14:38:50.155,2025-05-13 14:38:50.155
54,CON.F.US.MES.M25,2025-04-23 14:00:00+00,5500,downtrendStart,4h,2025-05-13 14:38:56.723,2025-05-13 14:38:56.723
